x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s,ROI,SequenceID,EnterExitFlag
0.8378099999999999,0.2424479999999999,0.0,2025-01-23 15:20:35.288,3789.0,123.0,20.268599999999996,-15.453120000000007,-1.0845800000000023,3.24597,3.4223727174724856,23.849287229773413,36.79747336769324,INST_n2q3_2,4,
0.797893,0.2731949999999999,0.0,2025-01-23 15:20:35.410,3911.0,122.0,17.873579999999997,-13.608300000000005,-2.794189999999997,2.1522900000000007,3.527017153374787,24.77998000029126,36.79747336769324,INST_n2q3_2,4,
0.775453,0.28961,0.0,2025-01-23 15:20:35.533,4034.0,123.0,16.527179999999998,-12.623400000000002,-1.570800000000002,1.1490500000000008,1.9462087612843613,13.56243039222551,36.79747336769324,INST_n2q3_2,4,Exit
0.067533,0.511236,0.0,2025-01-23 15:20:35.899,4400.0,122.0,-25.94802,0.6741600000000014,-1.186640000000004,1.010379999999997,1.558519244026202,10.949783915874995,36.79747336769324,KW_n2q3_1,0,
0.186206,0.419714,0.0,2025-01-23 15:20:36.021,4522.0,122.0,-18.827640000000002,-4.817160000000001,8.307110000000005,-6.40654,10.490559152099571,73.70416266112109,36.79747336769324,KW_n2q3_2,0,
0.328827,0.359741,0.0,2025-01-23 15:20:36.143,4644.0,122.0,-10.270380000000001,-8.415540000000002,9.98347,-4.19811,10.830226258624515,76.09058261328703,36.79747336769324,BG_n2q3,0,
0.853329,0.2785229999999999,0.0,2025-01-23 15:20:36.388,4889.0,245.0,21.19974,-13.288620000000005,0.978740000000002,1.5465800000000005,1.830257272625902,129.98031834486034,36.79747336769324,INST_n2q3_2,5,Enter
0.865578,0.2709549999999999,0.0,2025-01-23 15:20:36.510,5011.0,122.0,21.934679999999997,-13.742700000000006,0.8574299999999972,-0.5297600000000013,1.007884845852936,7.081158167585034,36.79747336769324,INST_n2q3_2,5,
0.933172,0.2242289999999999,0.0,2025-01-23 15:20:36.633,5134.0,123.0,25.99032,-16.546260000000007,4.731580000000005,-3.2708200000000005,5.752052917767712,40.083992458311585,36.79747336769324,INST_n2q3_2,5,
0.94243,0.2103899999999999,0.0,2025-01-23 15:20:36.755,5256.0,122.0,26.5458,-17.376600000000007,0.648060000000001,-0.968729999999999,1.165512581013178,8.188612981357217,36.79747336769324,INST_n2q3_2,5,
0.923923,0.211728,0.0,2025-01-23 15:20:36.877,5378.0,122.0,25.435380000000002,-17.296319999999998,-1.2954900000000045,0.0936599999999998,1.2988712544744423,9.12555916492578,36.79747336769324,INST_n2q3_2,5,
0.76105,0.270763,0.0,2025-01-23 15:20:37.121,5622.0,244.0,15.663,-13.754220000000002,-11.401109999999996,4.13245,12.126930866241462,42.60045971747588,36.79747336769324,INST_n2q3_2,5,
0.842951,0.2076309999999999,0.0,2025-01-23 15:20:37.243,5744.0,122.0,20.57706,-17.542140000000007,5.733069999999998,-4.41924,7.238630657969778,50.85688986864015,36.79747336769324,INST_n2q3_2,5,Exit
0.3255019999999999,0.695152,0.0,2025-01-23 15:20:37.610,6111.0,122.0,-10.469880000000005,11.709119999999999,-0.5445300000000017,1.4154699999999956,1.516597587298618,10.655252369779516,36.79747336769324,INST_n2q3_1,6,Enter
