x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.576142,0.466091,0.0,2025-01-23 15:20:09.673,6725.0,123.0,5.329940000000003,-2.3736300000000017,-0.14944999999999986,3.4652099999999977,3.4684312947786617,28.198628412834648,40.69961463229585
0.5787,0.469,0.0,2025-01-23 15:20:09.795,6847.0,122.0,5.5089999999999995,-2.1700000000000017,0.17905999999999622,0.20362999999999998,0.2711598430815275,2.2226216646026846,40.69961463229585
0.324611,0.382271,0.0,2025-01-23 15:20:09.918,6970.0,123.0,-12.277230000000001,-8.241029999999999,-17.78623,-6.071029999999997,18.793812356033566,152.79522240677696,40.69961463229585
0.335684,0.430989,0.0,2025-01-23 15:20:10.040,7092.0,122.0,-11.502120000000001,-4.830769999999999,0.7751099999999997,3.410259999999999,3.4972373067465687,28.665879563496468,40.69961463229585
0.445957,0.40802,0.0,2025-01-23 15:20:10.284,7336.0,244.0,-3.7830100000000004,-6.4386,7.719110000000001,-1.6078300000000008,7.884781322332282,32.31467755054214,40.69961463229585
0.463196,0.416278,0.0,2025-01-23 15:20:10.407,7459.0,123.0,-2.57628,-5.860540000000001,1.2067300000000003,0.5780599999999989,1.338039856095475,10.878372813784349,40.69961463229585
0.468901,0.442632,0.0,2025-01-23 15:20:10.529,7581.0,122.0,-2.176929999999999,-4.015759999999998,0.399350000000001,1.8447800000000028,1.8875099127951647,15.471392727829219,40.69961463229585
0.46455,0.463455,0.0,2025-01-23 15:20:10.651,7703.0,122.0,-2.4814999999999987,-2.5581499999999995,-0.30456999999999956,1.457609999999999,1.4890902581777898,12.20565785391631,40.69961463229585
0.639362,0.480093,0.0,2025-01-23 15:20:10.774,7826.0,123.0,9.755339999999999,-1.3934900000000006,12.236839999999997,1.164659999999999,12.292139199553507,99.93609105328053,40.69961463229585
0.661343,0.461589,0.0,2025-01-23 15:20:10.896,7948.0,122.0,11.29401,-2.688769999999998,1.5386700000000015,-1.2952799999999975,2.01128209043386,16.485918774048034,40.69961463229585
0.585903,0.451539,0.0,2025-01-23 15:20:11.018,8070.0,122.0,6.013209999999996,-3.392269999999998,-5.280800000000004,-0.7035,5.327453508947782,43.66765171268674,40.69961463229585
0.574962,0.467199,0.0,2025-01-23 15:20:11.140,8192.0,122.0,5.247339999999998,-2.2960700000000016,-0.7658699999999987,1.0961999999999965,1.337240179212392,10.960985075511411,40.69961463229585
0.577523,0.46564,0.0,2025-01-23 15:20:11.262,8314.0,122.0,5.42661,-2.4052000000000002,0.17927000000000248,-0.10912999999999862,0.209873985524649,1.720278569874172,40.69961463229585
0.585221,0.421204,0.0,2025-01-23 15:20:11.385,8437.0,123.0,5.96547,-5.515719999999998,0.5388599999999997,-3.110519999999998,3.1568504510033395,25.66545082116536,40.69961463229585
0.701496,0.390405,0.0,2025-01-23 15:20:11.507,8559.0,122.0,14.10472,-7.67165,8.13925,-2.1559300000000015,8.419942085750948,69.01591873566352,40.69961463229585
0.670788,0.461494,0.0,2025-01-23 15:20:11.630,8682.0,123.0,11.955160000000003,-2.695419999999999,-2.1495599999999975,4.976230000000001,5.420652470551861,44.070345289039516,40.69961463229585
0.672592,0.487649,0.0,2025-01-23 15:20:11.753,8805.0,123.0,12.081439999999997,-0.8645700000000001,0.12627999999999417,1.830849999999999,1.8351998149792832,14.920323699018562,40.69961463229585
0.665584,0.469324,0.0,2025-01-23 15:20:11.874,8926.0,121.0,11.590879999999997,-2.147319999999999,-0.49056000000000033,-1.2827499999999987,1.3733523495811253,11.350019418025829,40.69961463229585
0.6068,0.378999,0.0,2025-01-23 15:20:11.996,9048.0,122.0,7.476000000000001,-8.470070000000002,-4.114879999999996,-6.322750000000003,7.543832247399196,61.83469055245243,40.69961463229585
0.706998,0.454795,0.0,2025-01-23 15:20:12.119,9171.0,123.0,14.48986,-3.1643499999999998,7.013859999999999,5.305720000000002,8.794594750072342,71.5007703257914,40.69961463229585
0.697424,0.525245,0.0,2025-01-23 15:20:12.241,9293.0,122.0,13.819680000000004,1.7671499999999973,-0.6701799999999967,4.931499999999997,4.976829661782686,40.7936857523171,40.69961463229585
0.689275,0.522478,0.0,2025-01-23 15:20:12.485,9537.0,244.0,13.249249999999998,1.5734599999999999,-0.5704300000000053,-0.19368999999999748,0.602416966062548,2.4689219920596233,40.69961463229585
0.722649,0.56738,0.0,2025-01-23 15:20:12.608,9660.0,123.0,15.585429999999999,4.7166,2.3361800000000006,3.14314,3.9162566376579564,31.839484859007776,40.69961463229585
0.699236,0.520392,0.0,2025-01-23 15:20:12.852,9904.0,244.0,13.946519999999998,1.4274399999999976,-1.638910000000001,-3.289160000000002,3.6748604726846454,15.060903576576415,40.69961463229585
0.608948,0.582078,0.0,2025-01-23 15:20:12.974,10026.0,122.0,7.626360000000004,5.745459999999999,-6.320159999999994,4.318020000000001,7.654392147388317,62.74091924088784,40.69961463229585
0.846452,0.408611,0.0,2025-01-23 15:20:13.097,10149.0,123.0,24.25164,-6.3972299999999995,16.625279999999997,-12.142689999999998,20.58749269616142,167.37798939968636,40.69961463229585
0.854256,0.384297,0.0,2025-01-23 15:20:13.219,10271.0,122.0,24.79792,-8.09921,0.546280000000003,-1.7019799999999998,1.7875004220419088,14.651642803622202,40.69961463229585
0.860938,0.375427,0.0,2025-01-23 15:20:13.341,10393.0,122.0,25.265659999999997,-8.72011,0.4677399999999956,-0.6209000000000007,0.7773657553558664,6.37185045373661,40.69961463229585
0.858582,0.371167,0.0,2025-01-23 15:20:13.463,10515.0,122.0,25.10074,-9.018309999999998,-0.16491999999999862,-0.2981999999999978,0.34076655704455244,2.793168500365184,40.69961463229585
0.855404,0.375086,0.0,2025-01-23 15:20:13.585,10637.0,122.0,24.878280000000004,-8.743980000000002,-0.22245999999999455,0.2743299999999955,0.353193148999234,2.895025811469131,40.69961463229585
0.859621,0.375579,0.0,2025-01-23 15:20:13.708,10760.0,123.0,25.17347,-8.70947,0.2951899999999945,0.034510000000002705,0.2972003973752339,2.4162633932945843,40.69961463229585
